"","Date_monthrounded","AvgCa_mg.L","AvgMg_mg.L","AvgNa_mg.L","AvgSpC_uS.cm"
"457",2014-01-01,5.645,2.28,7.63,99
"458",2014-02-01,5.63,2.1,8.45,98
"459",2014-03-01,6.275,2.35,9.775,111
"460",2014-04-01,5.43,2.08,8.25,97
"461",2014-05-01,5.2,2.155,8.07,94.5
"462",2014-06-01,4.79,2.28,10.2,106
"463",2014-07-01,6.185,2.315,12.15,132.5
"464",2014-08-01,5.17,1.9,6.54,78
"465",2014-09-01,7.395,2.675,11.895,134
"466",2014-10-01,8.39,2.89,16.5,167
"467",2014-11-01,8.09,2.78,14.25,162
"468",2014-12-01,6.45,2.54,9.78,127
"469",2015-01-01,5.04,2.015,6.75,97.5
"470",2015-02-01,5.03,1.94,8.11,101
"471",2015-03-01,5.415,2.2,9.885,102
"472",2015-04-01,5.28,2.03,7.32,91
"473",2015-05-01,6.73,2.535,10.91,120.5
"474",2015-06-01,8.08,2.96,14.1,151
"475",2015-07-01,5.7,2.14,10.7,109
"476",2015-08-01,8.93,3.325,25.2,207
"477",2015-09-01,8.455,2.945,17.95,173
"478",2015-10-01,9.02,3.32,15.8,172
"479",2015-11-01,6.5,2.685,7.945,110
"480",2015-12-01,6.94,2.68,9.41,130
"481",2016-01-01,5.645,2.14,7.385,92
"482",2016-02-01,3.92,1.64,5.16,73
"483",2016-03-01,6.225,2.475,10.185,113.5
"484",2016-04-01,6.1,2.35,10.7,113
"485",2016-05-01,5.945,2.28,8.775,100.5
"486",2016-06-01,6.93,2.58,10.3,115
"487",2016-07-01,6.65,2.455,10.3,112
"488",2016-08-01,5.79,2.22,12.5,120
"489",2016-09-01,6.935,2.475,10.935,128
"490",2016-10-01,2.13,0.828,1.56,36
"491",2016-11-01,7.95,2.94,12.585,142
"492",2016-12-01,7.42,2.74,12,140
"493",2017-01-01,6.175,2.46,10.795,122
"494",2017-02-01,7.24,2.7,12.2,137
"495",2017-03-01,7.18,2.705,14.25,144
"496",2017-04-01,6.36,2.58,12.5,128
"497",2017-05-01,4.54,1.78,5.91,80
"498",2017-06-01,5.81,2.48,16.5,148
"499",2017-07-01,6.48,2.64,13.3,135
"500",2017-08-01,7.72,3.13,26.7,215
"501",2017-09-01,7.765,2.805,16.45,157
"502",2017-10-01,8.38,2.93,20.2,185
"503",2017-11-01,7.69,2.685,15.05,153
"504",2017-12-01,8.96,3.18,23.2,205
"505",2018-01-01,8.31,2.86,18.9,182.5
"506",2018-02-01,5.71,2.28,9.81,115
"507",2018-03-01,6.165,2.375,10.33,116
"508",2018-04-01,5.86,2.3,9.18,106
"509",2018-05-01,6.9,2.675,13.03,135.5
"510",2018-06-01,8.03,2.97,13.8,144
"511",2018-07-01,7.35,2.66,19.45,171.5
"512",2018-08-01,5.94,2.07,7.75,98
"513",2018-09-01,4.6,1.71333333333333,6.11333333333333,82
"514",2018-10-01,6.9,2.58,8.56,108
"515",2018-11-01,5.42,2.125,7.02,92.5
"516",2018-12-01,4.7,1.93,5.45,84
"517",2019-01-01,5.14,2.03,6.54,87
"518",2019-02-01,6.39,2.42,9.79,121
"519",2019-03-01,4.885,1.9,6.34,84.5
"520",2019-04-01,5.8,2.23,9.46,109
"521",2019-05-01,7.085,2.7,11.52,128.5
"522",2019-06-01,6.21,2.65,14.515,142
"523",2019-07-01,6.605,2.92,14.8,149
"524",2019-08-01,5.82,2.19,10.355,110.5
"525",2019-09-01,8.63,3.12,16.9,166.5
"526",2019-10-01,7.36,2.74,14.8,153
"527",2019-11-01,8.265,3.045,15.45,163
"528",2019-12-01,6.63,2.64,13.5,142
"529",2020-01-01,5.525,2.245,8.2,101
"530",2020-02-01,5.54,2.25,8.6,102
"531",2020-03-01,5.675,2.25,9.035,106
"532",2020-04-01,5.95,2.51,9.62,110
"533",2020-05-01,5.255,2.13,7.53,91
"534",2020-06-01,6.06,2.65,9.33,108
"535",2020-07-01,6.01,2.405,10.68,114.5
"536",2020-08-01,4.83,1.72,6.78,86
"537",2020-09-01,5.385,2.1,7.92,95.5
"538",2020-10-01,6.44,2.54,9.1,118
"539",2020-11-01,5.505,2.195,8.29,104
"540",2020-12-01,5.17,2.09,5.96,87
"541",2021-01-01,4.39,1.835,5.045,75
"542",2021-02-01,4.22,1.71,4.53,68
"543",2021-03-01,5.01,1.98,5.575,78.5
"544",2021-04-01,5.82,2.48,8.86,104
"545",2021-05-01,8.195,3.01,16.6,161
"546",2021-06-01,6.66,2.5,7.51,107
"547",2021-07-01,5.32,2.02,7.865,96.5
"548",2021-08-01,5.94,2.31,7.29,94
"549",2021-09-01,7.18,2.495,14.6,142.5
"550",2021-10-01,4.83,1.75,7.71,88
"551",2021-11-01,9.805,3.085,17.9,182.5
"552",2021-12-01,9.65,3.27,22.6,209
"553",2022-01-01,6.34,2.23,10.6,125
"554",2022-02-01,NA,NA,NA,NA
"555",2022-03-01,NA,NA,NA,NA
"556",2022-04-01,NA,NA,NA,NA
"557",2022-05-01,NA,NA,NA,NA
"558",2022-06-01,NA,NA,NA,NA
"559",2022-07-01,NA,NA,NA,NA
"560",2022-08-01,NA,NA,NA,NA
"561",2022-09-01,NA,NA,NA,NA
"562",2022-10-01,NA,NA,NA,NA
"563",2022-11-01,NA,NA,NA,NA
"564",2022-12-01,NA,NA,NA,NA
